date,portfolio,dependent_return,window,n_obs,alpha_daily,alpha_annualized,r2,beta_mkt_rf,beta_smb,beta_hml,beta_rmw,beta_cma,beta_mom
2021-10-28,G-D,G-D zero-cost return,504,504,0.0002638130016582972,0.06873115535832097,0.7994225486711282,0.19811818035497591,-0.08257247173116325,-0.5558356465075666,0.14876023445414557,-0.2777487010770407,0.09561733530676811
2021-10-29,G-D,G-D zero-cost return,504,504,0.0002623686846934071,0.06834234460474109,0.7993708043579544,0.198339320108862,-0.08358370222234059,-0.5559124249280665,0.1460166689973089,-0.27443001370707715,0.09521618321718421
2021-11-01,G-D,G-D zero-cost return,504,504,0.0002536812789270759,0.06600666176284165,0.7994728483655329,0.19839052597754925,-0.08415888575348543,-0.5560867966891939,0.147713806349761,-0.2754371952571363,0.09499234715097482
2021-11-02,G-D,G-D zero-cost return,504,504,0.00024213925549932818,0.06291135657531344,0.7995598901278055,0.19796487136590987,-0.08440103318673449,-0.555021222107136,0.14813577898512367,-0.27692781580597586,0.09596623373290487
2021-11-03,G-D,G-D zero-cost return,504,504,0.00022731637211538723,0.05894932740149095,0.7999288928020267,0.19788284628453315,-0.08597196971589427,-0.5541848018955827,0.1456953195941242,-0.27488825028110575,0.09701401332956718
2021-11-04,G-D,G-D zero-cost return,504,504,0.00023348951742703706,0.060597565451783186,0.800313402876838,0.19803446451597478,-0.08438600508924617,-0.556541065000962,0.1504640626209267,-0.2785122454152809,0.09630368877429142
2021-11-05,G-D,G-D zero-cost return,504,504,0.0002419268924854942,0.06285448964973406,0.8002186347304336,0.19819681231818143,-0.08427195810929786,-0.5563694628558745,0.14950377550856614,-0.2733762351358251,0.09695346329082356
2021-11-08,G-D,G-D zero-cost return,504,504,0.00023945874913540902,0.0621937883013286,0.800321285764787,0.1981592951167854,-0.08424554972559645,-0.5562780850383044,0.14907533091265654,-0.27266848705098246,0.09728099732766868
2021-11-09,G-D,G-D zero-cost return,504,504,0.0002424604360507981,0.06299736860213878,0.8004791089743392,0.19827374012170562,-0.08422455904434888,-0.5566161920373117,0.14863201235582751,-0.2721315351869313,0.09707433469608434
2021-11-10,G-D,G-D zero-cost return,504,504,0.00022522016991744203,0.05839021907479536,0.8002149856636473,0.1993582552699613,-0.08463895587590643,-0.5581261713126224,0.14175178310583963,-0.2672717179204312,0.09578661598571295
2021-11-11,G-D,G-D zero-cost return,504,504,0.0002255792641007271,0.05848597738987049,0.8001820051258618,0.19932087188752082,-0.08428997625779293,-0.5581261344625229,0.14221913310851136,-0.2671708489966432,0.09598479057086022
2021-11-12,G-D,G-D zero-cost return,504,504,0.00023257187087884047,0.06035239100286671,0.8005211929975498,0.19941742616994151,-0.08449407818175633,-0.5584058435177655,0.14206477699752687,-0.26677309713195657,0.09600369629026426
2021-11-15,G-D,G-D zero-cost return,504,504,0.0002445819770749677,0.06356569062724637,0.8005435272581378,0.19931153819405298,-0.08500721501678248,-0.5576495528933029,0.14299369316522162,-0.26727351189836385,0.09656002530079817
2021-11-16,G-D,G-D zero-cost return,504,504,0.00025361257709835674,0.06598821097757135,0.8008081787992594,0.19951555190978196,-0.08499049554511967,-0.5581066536418603,0.1435561779051295,-0.26834970501641847,0.09626554807735672
2021-11-17,G-D,G-D zero-cost return,504,504,0.00026205749134192467,0.06825858966971565,0.8009958466699322,0.1994430705267536,-0.08525274558396648,-0.5578381360999288,0.14419927132428678,-0.2690740987483551,0.09664948482161632
2021-11-18,G-D,G-D zero-cost return,504,504,0.00027459918604544206,0.07163926086433858,0.8004598411421777,0.19913121218818058,-0.08513135688238829,-0.5565301086360555,0.15186060385593064,-0.27348191752741535,0.09888890933062137
2021-11-19,G-D,G-D zero-cost return,504,504,0.0002873892449941586,0.07509785470250097,0.8010033794579539,0.19887247161112673,-0.0841281741972549,-0.557726345857408,0.1552320709133471,-0.2770058570824106,0.098647902907006
