method_label,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,final_wealth,static_g_weight,ann_excess_vs_smooth
Static G/D 67% G,2233,2017-06-28,2026-05-15,3.5391398242142635,0.18615438013006358,0.20557445950240757,0.9337796908126115,1.1251819503070806,-0.3264796096160898,0.5701868497973399,0.0,0.67,4.5391398242142635,0.67,-0.00624386540848465
Static G/D 68% G,2233,2017-06-28,2026-05-15,3.568359669661656,0.18701363209399124,0.2063644338722907,0.9345035977590668,1.126715449167714,-0.32592545614064883,0.5737926527999948,0.0,0.6799999999999999,4.568359669661656,0.68,-0.005384613444556985
Static G/D 69% G,2233,2017-06-28,2026-05-15,3.5976757820434706,0.18787082903164576,0.20716227488470543,0.9351864700319178,1.1282190777954317,-0.3253710903723087,0.5774047989840552,0.0,0.69,4.597675782043471,0.69,-0.004527416506902471
Static G/D 70% G,2233,2017-06-28,2026-05-15,3.627087601146827,0.18872596550140974,0.20796789200170454,0.9358291098207367,1.1295598778790987,-0.3248165125014185,0.5810233108163968,0.0,0.7000000000000001,4.627087601146827,0.7,-0.0036722800371384867
Static G/D 71% G,2233,2017-06-28,2026-05-15,3.656594557331922,0.18957903607079407,0.20878119520711202,0.936432314794178,1.1314754597364436,-0.32426172271869047,0.5846482109615546,0.0,0.7100000000000001,4.656594557331922,0.71,-0.002819209467754158
Static G/D 72% G,2233,2017-06-28,2026-05-15,3.686196071516182,0.1904300353164865,0.20960209502969898,0.9369968776099497,1.1333320041030808,-0.32370672121519883,0.5882795222836582,0.0,0.7199999999999999,4.686196071516182,0.72,-0.001968210222061728
Static G/D 73% G,2233,2017-06-28,2026-05-15,3.715891555159539,0.19127895782440874,0.2104305025651436,0.9375235854521566,1.1348911386124167,-0.3231515081823818,0.5919172678484106,0.0,0.73,4.715891555159539,0.73,-0.0011192877141394941
Static G/D 74% G,2233,2017-06-28,2026-05-15,3.7456804102505066,0.1921257981897717,0.21126632949679894,0.9380132195954874,1.1371352904519116,-0.3225960838120403,0.595561470925088,0.0,0.7400000000000001,4.745680410250507,0.74,-0.00027244734877651666
Static G/D 75% G,2233,2017-06-28,2026-05-15,3.775562029292886,0.1929705510171238,0.21210948811529465,0.9384665549956638,1.13837503940985,-0.3220404482963385,0.5992121549885379,0.0,0.75,4.775562029292886,0.75,0.0005723054785755632
Static G/D 76% G,2233,2017-06-28,2026-05-15,3.8055357952939683,0.19381321092041848,0.21295989133699753,0.9388843599055624,1.1406369000257097,-0.3214846018278038,0.6028693437212594,0.0,0.7599999999999999,4.805535795293968,0.76,0.001414965381870248
Static G/D 77% G,2233,2017-06-28,2026-05-15,3.8356010817525448,0.1946537725230495,0.2138174527213587,0.9392673955163734,1.1415816717381264,-0.3209285445993275,0.6065330610154064,0.0,0.77,4.835601081752545,0.77,0.002255526984501266
