date,WF Expanding,WF Rolling,Fixed Parameter,50/50 G-D,100% G,100% D,SPY
2022-10-05,1.7815012919144964,1.772243925396811,1.6932325552616092,1.627074102429626,1.7291190792806388,1.4913295922835503,1.496501777818464
2022-10-06,1.76297723717612,1.753633058426101,1.6772093908195465,1.6118837469003988,1.7157159919724174,1.475043388083364,1.4810641053372915
2022-10-07,1.7230440945087806,1.7148509318698566,1.6298702154950038,1.5651180562346276,1.6498097778583982,1.4461135227341364,1.4397514651000445
2022-10-10,1.712363648839861,1.7046373883154502,1.6154484759579033,1.5506607379435136,1.6273089703478494,1.4391201363324695,1.4287585723563927
2022-10-11,1.705895880946716,1.6987196202923238,1.6033953936876773,1.5382208523362297,1.604468134617683,1.4362294180226978,1.4197102707492057
2022-10-12,1.701886743165503,1.6947150206157773,1.5998979197573509,1.5349113282970572,1.601426884853408,1.4327715999698512,1.4150273778113867
2022-10-13,1.7519687537909763,1.7446971295332163,1.644896610859032,1.577764931747857,1.6428207253125564,1.475741051632384,1.4523714647117105
2022-10-14,1.7154866613682658,1.70857083473195,1.605511453513162,1.539186280387666,1.5946349190993385,1.4468581827023972,1.4192737298826847
2022-10-17,1.7494407980446245,1.742237753693843,1.6450634299768985,1.5783461723773984,1.6470770215442594,1.472897724279121,1.4557447350499668
2022-10-18,1.7699873696799955,1.762726852292456,1.6629648596702558,1.5952939438257874,1.6625805278477495,1.4906647223974843,1.4728491999290705
2022-10-19,1.7574431913823214,1.7502556960213005,1.6524121425478242,1.5853764007203852,1.6540839877700015,1.4797485159325374,1.4624119046541684
2022-10-20,1.7452326958678739,1.7381382985487819,1.6428741529294595,1.5765552105906546,1.647765171883594,1.4689344152586237,1.4501490748450299
2022-10-21,1.7900128700616054,1.7827251789850151,1.6845109295870246,1.6164277184248714,1.688658383244426,1.506780675485974,1.4853898284767426
2022-10-24,1.8099666937708898,1.8026090231334386,1.7036714168063567,1.6348815248408564,1.7084853947727392,1.5234932020970962,1.5035658027592693
2022-10-25,1.8323542133321202,1.8252049817121712,1.730343791652103,1.6614672210052155,1.7444284636828613,1.5409906942021117,1.5275755504470319
2022-10-26,1.8360990889849464,1.8263201654874697,1.7188236918423463,1.647787467060784,1.7069925218324158,1.548685190688804,1.5160667457687065
2022-10-27,1.8338512751984006,1.821682579219368,1.7092121290763687,1.6372639981825843,1.6835683942826827,1.5501558335488421,1.507970896962714
2022-10-28,1.8734276982398823,1.8636732969120533,1.7530287084012268,1.6804167136006714,1.7395472549899957,1.5803266376535692,1.5438466191271698
2022-10-31,1.8635292802342311,1.851929411689839,1.7400964760818003,1.6674163943185742,1.7196371776924906,1.57396237563444,1.532694984251372
2022-11-01,1.8676253536766774,1.8520125531621803,1.7371546811895533,1.6635146288999603,1.7035137546656065,1.581353778044738,1.5259881291130943
2022-11-02,1.8269770835119437,1.806969399885615,1.6914962161667932,1.6185737616262286,1.6437417447242448,1.5513970188182737,1.4876915894115763
2022-11-03,1.8153277067637976,1.7896809926046182,1.671110073879054,1.5976128045393163,1.6060608864186625,1.5467789811127999,1.472372973528474
2022-11-04,1.8466803378638907,1.8197000376755776,1.6986692737005813,1.623776353648712,1.6301743815434273,1.574217670629064,1.4935650483508882
2022-11-07,1.865599416803934,1.8392686304333363,1.7174564063643414,1.6419338544422275,1.650737535077902,1.5895670043738277,1.5078518403604853
2022-11-08,1.8775653407349204,1.8513105915399157,1.72886574579099,1.6528995269495435,1.6624172567861872,1.5995519719950864,1.5159873747047128
2022-11-09,1.838047466775447,1.810515355290671,1.6904464599460398,1.6159113842918171,1.6215062010527035,1.5673272613928375,1.4847548599398408
2022-11-10,1.9266645861501668,1.9139372672010266,1.788458437776828,1.7116509856311577,1.749127986691256,1.6296918407155707,1.566348316549147
2022-11-11,1.9458707448480397,1.9382317637766273,1.8108981863655818,1.7336860724801664,1.7816545392402205,1.6413462643616215,1.5815081902959447
2022-11-14,1.9329869180697117,1.9231827562131367,1.797424061833017,1.7206166412737862,1.7641377227100379,1.6327369512941805,1.568054794481155
2022-11-15,1.9469589738318667,1.941182389975167,1.8130262686422387,1.7358440333406073,1.787264977088913,1.6402316372779087,1.5814288192277923
2022-11-16,1.9269201576516926,1.9190403936225287,1.7933921787132865,1.7169574937099967,1.7639538318261592,1.6259325469681893,1.5693644170848762
2022-11-17,1.9248977979984483,1.9156766872629132,1.7910744512948709,1.7147158171173957,1.7592862571049517,1.6259892383537924,1.5645624675448284
2022-11-18,1.9317818182923743,1.9201181936985505,1.7968387548336018,1.7202220395027308,1.7607230689758948,1.6351039051197505,1.5716661780197096
2022-11-21,1.9226540645427344,1.9057252599735526,1.7872681616575377,1.7111012076927488,1.742085571375821,1.6350726567781757,1.5659514612125436
2022-11-22,1.9536089142065693,1.9364007411369224,1.8161212150606114,1.7387405507599274,1.7701994132944716,1.6615083076764923,1.5870244794327295
2022-11-23,1.9639818364231998,1.9512798632108113,1.8261365778777139,1.7481791169789926,1.787971394916722,1.662866172951451,1.597025233841111
2022-11-25,1.9605818349942852,1.944398823497355,1.8230775355166595,1.745438347312703,1.7786873429649006,1.666286580745325,1.5966680640427426
2022-11-28,1.9273856984568127,1.9100290479121358,1.7923955665860114,1.7161687321446386,1.7460534087303705,1.640973669818581,1.5711899516191126
2022-11-29,1.9220905546772336,1.8992103713243955,1.7883781745416505,1.7127754695679205,1.731655747345881,1.6480156923429654,1.5684913353518346
2022-11-30,1.9888060067059792,1.977034238974858,1.8478611327035988,1.7686290762879078,1.8121249252330318,1.678916806917527,1.6178998243950742
2022-12-01,1.9911695596635548,1.9804724709129053,1.8498007295719159,1.7703797984639036,1.8161481455268438,1.6785131673558678,1.6167092583935816
2022-12-02,1.9854803256137703,1.9733501007330125,1.8451409199058142,1.766125515308393,1.8085051478284637,1.6775098990836153,1.6148440383252693
2022-12-05,1.9490631033057055,1.9370470830075277,1.8114176387629726,1.733878746290884,1.7751662813682243,1.6471763702422297,1.5857942278971608
2022-12-06,1.914902071552484,1.8995637524643794,1.781668440217845,1.706020662911811,1.738258543575932,1.6284929641094767,1.5629353606768155
2022-12-07,1.9089021506057935,1.892220324782658,1.7770123358634191,1.7018484084704857,1.7306290436538505,1.6276753805563149,1.5602764299436138
2022-12-08,1.9296297864706387,1.9159563061659628,1.794130758158809,1.7175651106450767,1.7543769797134474,1.6354036062031037,1.572499574218676
2022-12-09,1.9157564768808208,1.9029917967917025,1.7806592877116818,1.7044902012222287,1.7430116257609258,1.6210993015419148,1.560752656344211
2022-12-12,1.9467060995017111,1.9345276410527312,1.8088037991099983,1.73123677129527,1.77236242879932,1.6446774247797664,1.5832543537620296
2022-12-13,1.966620331665331,1.956189728222551,1.825570702103743,1.7467478046795084,1.7933281776285752,1.654693104071659,1.5952393848409518
2022-12-14,1.953429837418525,1.9421823913401222,1.814358706560338,1.7363304820521928,1.7798836773228712,1.6473616170629166,1.5850402027663484
2022-12-15,1.8936775595431377,1.87848549887157,1.7641200780240027,1.6898281923365608,1.7185388977329925,1.6158998800367017,1.5462674366642333
2022-12-16,1.870399189538653,1.8549710329414149,1.743058584192946,1.6698410233811436,1.696735359191824,1.598175711188683,1.5280135611974388
2022-12-19,1.8492215048711111,1.832123295038409,1.7260702786171274,1.6543908904768678,1.6744518771244623,1.5895906891789393,1.5150565228832105
2022-12-20,1.8513054129115312,1.8337135310472172,1.728834908245043,1.657287230165769,1.6755095527024746,1.5941524047226179,1.5171296490134871
2022-12-21,1.879408714489135,1.8618488896466179,1.7545503740015187,1.6817797698333314,1.701513335425051,1.6165302577339886,1.5398144330133772
2022-12-22,1.8421435568147606,1.8224594788381119,1.7245460282408394,1.6544691705225176,1.6629387000759537,1.6006762491979027,1.5178472695999234
2022-12-23,1.8490648811813881,1.8282136499221115,1.7333105894580714,1.663580293869709,1.6669098489491763,1.6144835589308504,1.5265783200287246
2022-12-27,1.8349623679974232,1.8122938648104017,1.724514920994545,1.6565335705556679,1.649515009994298,1.617653798527249,1.5205582806917624
2022-12-28,1.8091514356202358,1.786719516012287,1.7004359303052947,1.6334490232956163,1.626211912092235,1.595421305405068,1.5016609386612867
2022-12-29,1.8462004643636127,1.8251006852784648,1.7321690851070068,1.6625930889137004,1.6653367125665197,1.6139684387240039,1.5286913139714382
2022-12-30,1.843197900157234,1.8221944328742672,1.7291757189915082,1.659630537687594,1.6630605471558555,1.6104225792038998,1.5246646651398787
2023-01-03,1.8293711126651993,1.8080043251423659,1.7173258329347298,1.6487845543566781,1.6481263476273431,1.6038352914578733,1.5182459476993404
2023-01-04,1.8405656162946122,1.8187056620601771,1.729001770286853,1.6606086500909703,1.6551101902960046,1.620042622709511,1.5299670838945632
2023-01-05,1.8165697747360652,1.7946503946402086,1.7085210335492529,1.6421666637804344,1.6268840921748944,1.611687725883284,1.512504983032802
2023-01-06,1.8624839564708462,1.8400656449743842,1.7513255799813314,1.6830480518608788,1.6694725307483689,1.6497423394152615,1.5471899778983382
2023-01-09,1.8690864105660605,1.846960620940606,1.7556279330920332,1.6858924874379655,1.6826146870828496,1.6423317944643046,1.54631288607463
2023-01-10,1.881573761263577,1.8593283288110476,1.7671482538070447,1.6967898241699406,1.6948393478700885,1.6516313349235001,1.5571569304461448
2023-01-11,1.9066294667875803,1.8841906369300567,1.7893261501376383,1.7170134430926232,1.7238342032721137,1.6627464426585032,1.5768516286796133
2023-01-12,1.917452768060183,1.8948802320226634,1.7993913387956681,1.726599645775826,1.7340546930621608,1.67145459050248,1.5825925933503107
