method,config_id,year,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight
smooth_core_only,core_a0.50_tilt0.20_tau1.0_eta0.05,2021,252,2021-01-04,2021-12-31,0.31396998775981877,0.31396998775981877,0.12925081396226465,2.178375562344121,3.551265011873574,-0.0465477182673113,6.74512090918768,0.963641641711319,0.41423068236604377
smooth_core_only,core_a0.50_tilt0.20_tau1.0_eta0.05,2022,251,2022-01-03,2022-12-30,-0.14556657429089104,-0.14610193095792545,0.24463977721297267,-0.5230865263541754,-0.971619418921123,-0.21643455055999472,-0.6750397779832598,2.0231983677156684,0.46582990333227176
smooth_core_only,core_a0.50_tilt0.20_tau1.0_eta0.05,2023,250,2023-01-03,2023-12-29,0.2852505632245894,0.2878334620821683,0.13407695961877872,1.9545739906107031,3.7660631493033208,-0.0975447889309703,2.950782560879392,1.863026326904713,0.48936205196195526
smooth_core_only,core_a0.50_tilt0.20_tau1.0_eta0.05,2024,252,2024-01-02,2024-12-31,0.21690661464816108,0.21690661464816108,0.1303454566277997,1.5719657475154596,2.2335269595125085,-0.08733528388096479,2.483608056324611,1.6364943911886334,0.4565072860747426
smooth_core_only,core_a0.50_tilt0.20_tau1.0_eta0.05,2025,250,2025-01-02,2025-12-31,0.17850178707714237,0.1800512992473271,0.19109349479575036,0.961361534110279,1.1806128107506872,-0.19576419101797915,0.919735618199914,1.306599145989281,0.4721814399899385
smooth_core_only,core_a0.50_tilt0.20_tau1.0_eta0.05,2026,93,2026-01-02,2026-05-15,0.11940555129587516,0.357501143787335,0.1290850041679684,2.433657841347401,4.443342838902345,-0.07634594791056071,4.682647259893186,1.1146125010971235,0.4341733603927884
smooth_tnx_only,tnx_tilt0.20_tau1.0_eta0.05,2016,7,2016-12-21,2016-12-30,-0.0137935885934789,-0.3934849566038381,0.05879311916858224,-8.466922506598594,-10.481473203993296,-0.012592148290785699,-31.248437321197258,0.5817822001780661,0.3427072552110037
smooth_tnx_only,tnx_tilt0.20_tau1.0_eta0.05,2017,249,2017-01-03,2017-12-29,0.23186022156729535,0.23495898178327912,0.07234797210626696,2.9544200563458616,4.174428009395092,-0.02401028875283584,9.785762437177198,1.7179920007870322,0.49080086810645823
smooth_tnx_only,tnx_tilt0.20_tau1.0_eta0.05,2018,251,2018-01-02,2018-12-31,-0.03559287673356082,-0.03573211687402977,0.17617985681472084,-0.11817146428429058,-0.2543868034891006,-0.19507755788305292,-0.18316877277831634,1.8130798062899616,0.4655825848557572
smooth_tnx_only,tnx_tilt0.20_tau1.0_eta0.05,2019,252,2019-01-02,2019-12-31,0.3320516666127453,0.3320516666127453,0.13667858826152496,2.1674482307543386,3.0428332818183463,-0.08202521994671652,4.048165513343892,1.895903519860705,0.551122907160976
smooth_tnx_only,tnx_tilt0.20_tau1.0_eta0.05,2020,253,2020-01-02,2020-12-31,0.2574554181899895,0.2563173142723072,0.3468245890431263,0.8332822045897065,0.8390001257207232,-0.32723679673048733,0.7832777879298534,1.5695970193949413,0.5141794157783235
smooth_tnx_only,tnx_tilt0.20_tau1.0_eta0.05,2021,252,2021-01-04,2021-12-31,0.31574058616920975,0.31574058616920975,0.1307825297390899,2.1646915812305014,3.519481299812518,-0.047892274167658844,6.592724852945615,1.6871571065068431,0.4635063702604204
smooth_tnx_only,tnx_tilt0.20_tau1.0_eta0.05,2022,251,2022-01-03,2022-12-30,-0.14689766830593398,-0.1474374866520688,0.23977056085010057,-0.5451140997910893,-0.9901219089660627,-0.2210340606534834,-0.6670351447924922,2.5196498077480833,0.4279083558345502
smooth_tnx_only,tnx_tilt0.20_tau1.0_eta0.05,2023,250,2023-01-03,2023-12-29,0.26649584407099924,0.2688918243479921,0.1328517874056262,1.8597385482537006,3.5031656181793815,-0.09796100010502529,2.7448864758394627,2.4886419336175916,0.472491516580238
smooth_tnx_only,tnx_tilt0.20_tau1.0_eta0.05,2024,252,2024-01-02,2024-12-31,0.22104140514934345,0.22104140514934345,0.13635541148274272,1.5334761188927457,2.1595177632917135,-0.09531886168943171,2.3189681583645156,2.276942639919167,0.5141300366686637
smooth_tnx_only,tnx_tilt0.20_tau1.0_eta0.05,2025,250,2025-01-02,2025-12-31,0.1738603688515976,0.17536667214477508,0.19497589050767686,0.9256382820360313,1.1217079668903576,-0.20142112782923505,0.8706468583248678,1.8553155839951554,0.5239419343180298
smooth_tnx_only,tnx_tilt0.20_tau1.0_eta0.05,2026,93,2026-01-02,2026-05-15,0.11859155250930264,0.35482798906309054,0.13388570923552567,2.336368083227924,4.339976808452869,-0.07762929807262176,4.570799915402443,1.8554623923393887,0.4832126117346988
traditional_smooth_score,trad_a0.50_ls0.25_lc0.05_tilt0.20_tau1.0_eta0.05,2017,75,2017-06-28,2017-10-12,0.06282338306780799,0.22718290948406983,0.07822739167698262,2.6572685662310396,3.1539265833809873,-0.020626109712141627,11.014336326851684,2.770097689873218,0.5146128565788172
traditional_smooth_score,trad_a0.50_ls0.25_lc0.05_tilt0.20_tau1.0_eta0.05,2018,177,2018-04-19,2018-12-31,-0.057166191617225026,-0.080392335144028,0.16905003700114202,-0.4111266390899256,-0.6155092767198187,-0.19679087792252903,-0.4085165734952215,2.596656507918371,0.5388664989796008
traditional_smooth_score,trad_a0.50_ls0.25_lc0.05_tilt0.20_tau1.0_eta0.05,2019,252,2019-01-02,2019-12-31,0.33368999046694237,0.33368999046694237,0.13665862981871135,2.1767409613960766,3.0517327617405208,-0.08120423434768897,4.109268354630315,2.1583411045641943,0.5381987809032263
traditional_smooth_score,trad_a0.50_ls0.25_lc0.05_tilt0.20_tau1.0_eta0.05,2020,253,2020-01-02,2020-12-31,0.2547264716691582,0.25360160261110587,0.3451551526552549,0.8293463486625738,0.832194833540518,-0.32837290230486993,0.7722975946890269,1.5467921997915002,0.5014674651165228
traditional_smooth_score,trad_a0.50_ls0.25_lc0.05_tilt0.20_tau1.0_eta0.05,2021,252,2021-01-04,2021-12-31,0.3145557200104383,0.3145557200104383,0.12900457379410557,2.1857458033337536,3.5659668393179578,-0.04622434278427823,6.804979823692045,1.1008267050245597,0.4121486900973117
traditional_smooth_score,trad_a0.50_ls0.25_lc0.05_tilt0.20_tau1.0_eta0.05,2022,251,2022-01-03,2022-12-30,-0.1443117483120837,-0.14484289135124995,0.24549742329748878,-0.5144103399067133,-0.9613529936543166,-0.215861503867672,-0.6709991765833426,2.3988158376959583,0.4727712276880507
traditional_smooth_score,trad_a0.50_ls0.25_lc0.05_tilt0.20_tau1.0_eta0.05,2023,250,2023-01-03,2023-12-29,0.2868281394162546,0.28942686243630256,0.1339118272758456,1.9660598582560294,3.749192671445534,-0.09680849315597151,2.989684613415033,1.7053433774029203,0.4774593412700503
traditional_smooth_score,trad_a0.50_ls0.25_lc0.05_tilt0.20_tau1.0_eta0.05,2024,252,2024-01-02,2024-12-31,0.2193525360853963,0.2193525360853963,0.12999423619566194,1.5913179511548983,2.2633042878771903,-0.0855877545803676,2.5628962596445084,1.6297757243048063,0.452818786733424
traditional_smooth_score,trad_a0.50_ls0.25_lc0.05_tilt0.20_tau1.0_eta0.05,2025,250,2025-01-02,2025-12-31,0.1846129489528323,0.1862195774693156,0.1941748178556219,0.9759520660599925,1.199408718104703,-0.19807421913985435,0.940150506602939,1.4921038348948454,0.5002420206116713
traditional_smooth_score,trad_a0.50_ls0.25_lc0.05_tilt0.20_tau1.0_eta0.05,2026,93,2026-01-02,2026-05-15,0.1253875953448944,0.3772481778014054,0.13241159776031558,2.4850005359748653,4.618563971134173,-0.0771797739876875,4.887915036672534,1.8636671532981122,0.4672583835329094
